grid_size,genome_size,mutation_rate,num_threads,omp_singleMeasure_multipleParallelFor,omp_singleMeasure_oneParallelFor,omp_singleMeasure_oneParallelFor_bitset,omp_singleMeasure_oneParallelSectionMultipleFor,seq_singleMeasure_multipleFor,seq_singleMeasure_oneFor,seq_singleMeasure_oneFor_bitset
16,32000,9.999999999999999e-06,4,1583.645,1491.65,1671.995,1560.013,-1,-1,-1
16,32000,9.999999999999999e-06,6,1156.131,1015.467,1223.365,1141.951,-1,-1,-1
16,32000,9.999999999999999e-06,8,920.726,824.405,915.693,915.575,-1,-1,-1
16,32000,9.999999999999999e-06,12,754.19,592.128,683.728,718.303,-1,-1,-1
16,32000,9.999999999999999e-06,16,633.834,543.303,667.869,518.944,-1,-1,-1
16,32000,9.999999999999999e-06,20,591.397,536.512,645.385,531.416,-1,-1,-1
16,32000,9.999999999999999e-06,26,557.0,497.365,653.508,490.355,-1,-1,-1
16,32000,9.999999999999999e-06,32,540.65,463.575,682.085,459.125,-1,-1,-1
16,32000,9.999999999999999e-06,48,705.68,444.384,870.627,736.658,-1,-1,-1
16,32000,9.999999999999999e-06,64,785.466,501.85,1407.838,756.384,-1,-1,-1
32,1000,9.999999999999999e-06,1,379.335,365.081,348.561,373.369,376.036,352.101,349.666
32,1000,9.999999999999999e-06,2,335.231,308.605,301.222,328.845,-1,-1,-1
32,1000,9.999999999999999e-06,4,219.717,191.051,188.6,189.459,-1,-1,-1
32,1000,9.999999999999999e-06,6,141.544,130.501,156.178,146.049,-1,-1,-1
32,1000,9.999999999999999e-06,8,138.209,108.068,118.744,160.632,-1,-1,-1
32,1000,9.999999999999999e-06,12,154.837,116.23,106.43,109.074,-1,-1,-1
32,1000,9.999999999999999e-06,16,120.803,88.436,76.678,143.547,-1,-1,-1
32,1000,9.999999999999999e-06,20,145.105,85.359,107.975,149.979,-1,-1,-1
32,1000,9.999999999999999e-06,26,164.31,93.603,89.575,138.19,-1,-1,-1
32,1000,9.999999999999999e-06,32,120.066,114.522,108.84,142.48,-1,-1,-1
32,1000,9.999999999999999e-06,48,375.012,422.555,189.802,169.208,-1,-1,-1
32,1000,9.999999999999999e-06,64,350.333,266.777,309.14,333.558,-1,-1,-1
32,2000,9.999999999999999e-06,1,463.425,427.318,418.708,466.242,465.489,418.488,404.587
32,2000,9.999999999999999e-06,2,399.631,350.465,340.705,387.013,-1,-1,-1
32,2000,9.999999999999999e-06,4,250.837,202.031,205.99,237.932,-1,-1,-1
32,2000,9.999999999999999e-06,6,196.201,136.65,141.073,166.246,-1,-1,-1
32,2000,9.999999999999999e-06,8,170.082,115.59,130.869,164.635,-1,-1,-1
32,2000,9.999999999999999e-06,12,162.212,98.221,111.673,154.727,-1,-1,-1
32,2000,9.999999999999999e-06,16,152.879,101.132,78.252,127.316,-1,-1,-1
32,2000,9.999999999999999e-06,20,124.431,95.381,88.299,110.169,-1,-1,-1
